From	To
O43660	PLRG1
P15822	HIVEP1
Q53F19	NCBP3
Q9HB96	FANCE
Q96QD9	FYTTD1
Q9BY77	POLDIP3
P26373	RPL13
P52294	KPNA1
P06400	RB1
Q9BXB4	OSBPL11
Q96ST3	SIN3A
Q13470	TNK1
Q32P44	EML3
Q9Y4F5	CEP170B
Q8WWI1	LMO7
P39880	CUX1
Q16665	HIF1A
P61224	RAP1B
P11137	MAP2
O76054	SEC14L2
P33076	CIITA
Q86V87	FAM160B2
P0DMV8	HSPA1A
Q96PU5	NEDD4L
Q93034	CUL5
Q05086	UBE3A
P10071	GLI3
Q13936	CACNA1C
P78348	ASIC1
P55211	CASP9
P24390	KDELR1
Q86UR1	NOXA1
Q14896	MYBPC3
P43694	GATA4
Q9ULJ8	PPP1R9A
Q9NX63	CHCHD3
P08684	CYP3A4
Q9NYF0	DACT1
Q07954	LRP1
Q9NZV8	KCND2
P61586	RHOA
P34998	CRHR1
Q13972	RASGRF1
O00168	FXYD1
Q6J4K2	SLC8B1
Q9NRD9	DUOX1
Q9Y2K6	USP20
P07550	ADRB2
Q12809	KCNH2
P27815	PDE4A
P08183	ABCB1
Q9BY41	HDAC8
P07384	CAPN1
O14813	PHOX2A
P14136	GFAP
Q01860	POU5F1
Q9H2S1	KCNN2
Q9UKG1	APPL1
P17661	DES
Q9Y259	CHKB
O60941	DTNB
P48544	KCNJ5
Q08499	PDE4D
Q7Z2W7	TRPM8
Q9P0L9	PKD2L1
P21731	TBXA2R
P00439	PAH
Q9NXR1	NDE1
P50402	EMD
Q13370	PDE3B
P17812	CTPS1
O95644	NFATC1
Q9NS28	RGS18
Q9GZX7	AICDA
Q07343	PDE4B
